PING 10.45.1.1 (10.45.1.1) 56(84) bytes of data.
64 bytes from 10.45.1.1: icmp_seq=174 ttl=64 time=73.9 ms
64 bytes from 10.45.1.1: icmp_seq=175 ttl=64 time=65.6 ms
64 bytes from 10.45.1.1: icmp_seq=176 ttl=64 time=62.1 ms
64 bytes from 10.45.1.1: icmp_seq=177 ttl=64 time=91.1 ms
64 bytes from 10.45.1.1: icmp_seq=178 ttl=64 time=95.2 ms
64 bytes from 10.45.1.1: icmp_seq=179 ttl=64 time=53.2 ms
64 bytes from 10.45.1.1: icmp_seq=180 ttl=64 time=59.7 ms
64 bytes from 10.45.1.1: icmp_seq=181 ttl=64 time=99.9 ms
64 bytes from 10.45.1.1: icmp_seq=182 ttl=64 time=49.6 ms
64 bytes from 10.45.1.1: icmp_seq=183 ttl=64 time=59.5 ms
64 bytes from 10.45.1.1: icmp_seq=184 ttl=64 time=50.4 ms
64 bytes from 10.45.1.1: icmp_seq=185 ttl=64 time=67.1 ms
64 bytes from 10.45.1.1: icmp_seq=186 ttl=64 time=65.8 ms
64 bytes from 10.45.1.1: icmp_seq=187 ttl=64 time=45.2 ms
64 bytes from 10.45.1.1: icmp_seq=188 ttl=64 time=52.0 ms
64 bytes from 10.45.1.1: icmp_seq=189 ttl=64 time=76.2 ms
64 bytes from 10.45.1.1: icmp_seq=190 ttl=64 time=56.5 ms
64 bytes from 10.45.1.1: icmp_seq=191 ttl=64 time=50.8 ms
64 bytes from 10.45.1.1: icmp_seq=192 ttl=64 time=93.0 ms
64 bytes from 10.45.1.1: icmp_seq=193 ttl=64 time=55.8 ms
64 bytes from 10.45.1.1: icmp_seq=194 ttl=64 time=57.2 ms
64 bytes from 10.45.1.1: icmp_seq=195 ttl=64 time=58.2 ms
64 bytes from 10.45.1.1: icmp_seq=196 ttl=64 time=63.1 ms
64 bytes from 10.45.1.1: icmp_seq=197 ttl=64 time=57.8 ms
64 bytes from 10.45.1.1: icmp_seq=198 ttl=64 time=43.2 ms
64 bytes from 10.45.1.1: icmp_seq=199 ttl=64 time=69.6 ms
64 bytes from 10.45.1.1: icmp_seq=200 ttl=64 time=61.1 ms

--- 10.45.1.1 ping statistics ---
200 packets transmitted, 200 received, 0% packet loss, time 199256ms
rtt min/avg/max/mdev = 30.184/60.292/224.340/21.769 ms
