PING 10.45.1.1 (10.45.1.1) 56(84) bytes of data.
64 bytes from 10.45.1.1: icmp_seq=182 ttl=64 time=61.3 ms
64 bytes from 10.45.1.1: icmp_seq=183 ttl=64 time=41.0 ms
64 bytes from 10.45.1.1: icmp_seq=184 ttl=64 time=29.4 ms
64 bytes from 10.45.1.1: icmp_seq=185 ttl=64 time=48.6 ms
64 bytes from 10.45.1.1: icmp_seq=186 ttl=64 time=28.3 ms
64 bytes from 10.45.1.1: icmp_seq=187 ttl=64 time=63.9 ms
64 bytes from 10.45.1.1: icmp_seq=188 ttl=64 time=60.0 ms
64 bytes from 10.45.1.1: icmp_seq=189 ttl=64 time=43.5 ms
64 bytes from 10.45.1.1: icmp_seq=190 ttl=64 time=39.5 ms
64 bytes from 10.45.1.1: icmp_seq=191 ttl=64 time=50.6 ms
64 bytes from 10.45.1.1: icmp_seq=192 ttl=64 time=34.8 ms
64 bytes from 10.45.1.1: icmp_seq=193 ttl=64 time=53.4 ms
64 bytes from 10.45.1.1: icmp_seq=194 ttl=64 time=48.5 ms
64 bytes from 10.45.1.1: icmp_seq=195 ttl=64 time=55.9 ms
64 bytes from 10.45.1.1: icmp_seq=196 ttl=64 time=52.0 ms
64 bytes from 10.45.1.1: icmp_seq=197 ttl=64 time=48.4 ms
64 bytes from 10.45.1.1: icmp_seq=198 ttl=64 time=64.1 ms
64 bytes from 10.45.1.1: icmp_seq=199 ttl=64 time=49.6 ms
64 bytes from 10.45.1.1: icmp_seq=200 ttl=64 time=61.8 ms

--- 10.45.1.1 ping statistics ---
200 packets transmitted, 200 received, 0% packet loss, time 199204ms
rtt min/avg/max/mdev = 26.111/46.747/131.366/15.849 ms
